,ZTD,RMS_ERROR,n
2021-11-28 01:00:00,1,2.48732,0.00068,1.0
2021-11-28 02:00:00,1,2.50675,0.0006,1.0
2021-11-28 03:00:00,1,2.52953,0.00064,1.0
2021-11-28 04:00:00,1,2.52268,0.00062,1.0
2021-11-28 05:00:00,1,2.52544,0.00054,1.0
2021-11-28 06:00:00,1,2.5392,0.00058,1.0
2021-11-28 07:00:00,1,2.53916,0.0006,1.0
2021-11-28 08:00:00,1,2.51577,0.0005,1.0
2021-11-28 09:00:00,1,2.51467,0.00061,1.0
2021-11-28 10:00:00,1,2.53251,0.00056,1.0
2021-11-28 11:00:00,1,2.51847,0.0005,1.0
2021-11-28 12:00:00,1,2.5271,0.00057,1.0
2021-11-28 13:00:00,1,2.52461,0.00059,1.0
2021-11-28 14:00:00,1,2.529,0.00055,1.0
2021-11-28 15:00:00,1,2.51238,0.00058,1.0
2021-11-28 16:00:00,1,2.52527,0.0005,1.0
2021-11-28 17:00:00,1,2.52399,0.00052,1.0
2021-11-28 18:00:00,1,2.51233,0.00058,1.0
2021-11-28 19:00:00,1,2.50271,0.00057,1.0
2021-11-28 20:00:00,1,2.50049,0.00062,1.0
2021-11-28 21:00:00,1,2.51209,0.00063,1.0
2021-11-28 22:00:00,1,2.50559,0.00073,1.0
2021-11-28 23:00:00,1,2.52354,0.00065,1.0
2021-11-29 00:00:00,1,2.52666,0.00087,1.0
2021-11-29 01:00:00,1,2.53064,0.00074,1.0
2021-11-29 02:00:00,1,2.52367,0.00062,1.0
2021-11-29 03:00:00,1,2.50171,0.0006,1.0
2021-11-29 04:00:00,1,2.48104,0.00065,1.0
2021-11-29 05:00:00,1,2.46857,0.0006,1.0
2021-11-29 06:00:00,1,2.46698,0.0006,1.0
2021-11-29 07:00:00,1,2.46779,0.00058,1.0
2021-11-29 08:00:00,1,2.45231,0.00054,1.0
2021-11-29 09:00:00,1,2.44473,0.0006,1.0
2021-11-29 10:00:00,1,2.43262,0.00053,1.0
2021-11-29 11:00:00,1,2.42965,0.00053,1.0
2021-11-29 12:00:00,1,2.42837,0.00063,1.0
2021-11-29 13:00:00,1,2.43624,0.00062,1.0
2021-11-29 14:00:00,1,2.43966,0.00057,1.0
2021-11-29 15:00:00,1,2.45086,0.00062,1.0
2021-11-29 16:00:00,1,2.46361,0.0006,1.0
2021-11-29 17:00:00,1,2.45595,0.0006,1.0
2021-11-29 18:00:00,1,2.44624,0.00063,1.0
2021-11-29 19:00:00,1,2.43733,0.00057,1.0
2021-11-29 20:00:00,1,2.43381,0.00063,1.0
2021-11-29 21:00:00,1,2.43415,0.00065,1.0
2021-11-29 22:00:00,1,2.43033,0.0007,1.0
2021-11-29 23:00:00,1,2.43181,0.00066,1.0
2021-11-30 00:00:00,1,2.4486,0.00092,1.0
2021-11-30 01:00:00,1,2.41972,0.00058,1.0
2021-11-30 02:00:00,1,2.39505,0.0005,1.0
2021-11-30 03:00:00,1,2.38539,0.0005,1.0
2021-11-30 04:00:00,1,2.37202,0.0006,1.0
2021-11-30 05:00:00,1,2.37355,0.00056,1.0
2021-11-30 06:00:00,1,2.36923,0.00054,1.0
2021-11-30 07:00:00,1,2.37093,0.0005,1.0
2021-11-30 08:00:00,1,2.36489,0.00048,1.0
2021-11-30 09:00:00,1,2.36711,0.00055,1.0
2021-11-30 10:00:00,1,2.3635,0.00052,1.0
2021-11-30 11:00:00,1,2.36027,0.00052,1.0
2021-11-30 12:00:00,1,2.35517,0.0006,1.0
2021-11-30 13:00:00,1,2.36469,0.00063,1.0
2021-11-30 14:00:00,1,2.37109,0.00053,1.0
2021-11-30 15:00:00,1,2.37454,0.00062,1.0
2021-11-30 16:00:00,1,2.37923,0.00049,1.0
2021-11-30 17:00:00,1,2.38373,0.00048,1.0
2021-11-30 18:00:00,1,2.38622,0.00054,1.0
2021-11-30 19:00:00,1,2.38785,0.00051,1.0
2021-11-30 20:00:00,1,2.38521,0.00057,1.0
2021-11-30 21:00:00,1,2.40872,0.00057,1.0
2021-11-30 22:00:00,1,2.41909,0.0006,1.0
2021-11-30 23:00:00,1,2.4394,0.00058,1.0
2021-12-01 00:00:00,1,2.41975,0.0008,1.0
2021-12-01 01:00:00,1,2.41245,0.00053,1.0
2021-12-01 02:00:00,1,2.40377,0.00047,1.0
2021-12-01 03:00:00,1,2.39624,0.00049,1.0
2021-12-01 04:00:00,1,2.39343,0.00057,1.0
2021-12-01 05:00:00,1,2.40461,0.00046,1.0
2021-12-01 06:00:00,1,2.42075,0.00052,1.0
2021-12-01 07:00:00,1,2.42591,0.00048,1.0
2021-12-01 08:00:00,1,2.42393,0.00051,1.0
2021-12-01 09:00:00,1,2.43634,0.00057,1.0
2021-12-01 10:00:00,1,2.44009,0.00047,1.0
2021-12-01 11:00:00,1,2.44229,0.00049,1.0
2021-12-01 12:00:00,1,2.43667,0.00055,1.0
2021-12-01 13:00:00,1,2.46508,0.00072,1.0
2021-12-01 14:00:00,1,2.46208,0.00051,1.0
2021-12-01 15:00:00,1,2.4838,0.00055,1.0
2021-12-01 16:00:00,1,2.47731,0.00048,1.0
2021-12-01 17:00:00,1,2.48334,0.00045,1.0
2021-12-01 18:00:00,1,2.45206,0.00054,1.0
2021-12-01 19:00:00,1,2.4438999999999997,0.00052,1.0
2021-12-01 20:00:00,1,2.43249,0.00056,1.0
2021-12-01 21:00:00,1,2.43186,0.00057,1.0
2021-12-01 22:00:00,1,2.42824,0.00061,1.0
2021-12-01 23:00:00,1,2.42076,0.00053,1.0
2021-12-02 00:00:00,1,2.4156599999999995,0.00075,1.0
2021-12-02 01:00:00,1,2.42249,0.00069,1.0
2021-12-02 02:00:00,1,2.4255,0.00061,1.0
2021-12-02 03:00:00,1,2.42542,0.00061,1.0
2021-12-02 04:00:00,1,2.43361,0.00075,1.0
2021-12-02 05:00:00,1,2.42571,0.00061,1.0
2021-12-02 06:00:00,1,2.4196,0.00074,1.0
2021-12-02 07:00:00,1,2.41989,0.00068,1.0
2021-12-02 08:00:00,1,2.42339,0.00063,1.0
2021-12-02 09:00:00,1,2.42304,0.00069,1.0
2021-12-02 10:00:00,1,2.42441,0.00063,1.0
2021-12-02 11:00:00,1,2.42212,0.00067,1.0
2021-12-02 12:00:00,1,2.42854,0.00075,1.0
2021-12-02 13:00:00,1,2.4292100000000003,0.00072,1.0
2021-12-02 14:00:00,1,2.42376,0.0007,1.0
2021-12-02 15:00:00,1,2.4329,0.00065,1.0
2021-12-02 16:00:00,1,2.42922,0.00065,1.0
2021-12-02 17:00:00,1,2.42783,0.00062,1.0
2021-12-02 18:00:00,1,2.41835,0.00068,1.0
2021-12-02 19:00:00,1,2.41811,0.00062,1.0
2021-12-02 20:00:00,1,2.41483,0.00073,1.0
2021-12-02 21:00:00,1,2.4254,0.00074,1.0
2021-12-02 22:00:00,1,2.42486,0.00078,1.0
2021-12-02 23:00:00,1,2.43626,0.00071,1.0
2021-12-03 00:00:00,1,2.43648,0.00095,1.0
2021-12-03 01:00:00,1,2.44106,0.00058,1.0
2021-12-03 02:00:00,1,2.43645,0.0005,1.0
2021-12-03 03:00:00,1,2.4317,0.00057,1.0
2021-12-03 04:00:00,1,2.43348,0.00059,1.0
2021-12-03 05:00:00,1,2.4272,0.00051,1.0
2021-12-03 06:00:00,1,2.4253,0.00057,1.0
2021-12-03 07:00:00,1,2.43643,0.00048,1.0
2021-12-03 08:00:00,1,2.43554,0.00053,1.0
2021-12-03 09:00:00,1,2.43412,0.00061,1.0
2021-12-03 10:00:00,1,2.43892,0.00054,1.0
2021-12-03 11:00:00,1,2.44602,0.00048,1.0
2021-12-03 12:00:00,1,2.46732,0.00066,1.0
2021-12-03 13:00:00,1,2.4695,0.00057,1.0
2021-12-03 14:00:00,1,2.47502,0.00055,1.0
2021-12-03 15:00:00,1,2.47705,0.00057,1.0
2021-12-03 16:00:00,1,2.47999,0.00051,1.0
2021-12-03 17:00:00,1,2.47841,0.0005,1.0
2021-12-03 18:00:00,1,2.48524,0.00058,1.0
2021-12-03 19:00:00,1,2.50114,0.00056,1.0
2021-12-03 20:00:00,1,2.50527,0.00062,1.0
2021-12-03 21:00:00,1,2.48236,0.0007,1.0
2021-12-03 22:00:00,1,2.47433,0.0006,1.0
2021-12-03 23:00:00,1,2.46552,0.0006,1.0
2021-12-04 00:00:00,1,2.46522,0.00073,1.0
2021-12-04 01:00:00,1,2.46715,0.00063,1.0
2021-12-04 02:00:00,1,2.47546,0.00056,1.0
2021-12-04 03:00:00,1,2.49021,0.00058,1.0
2021-12-04 04:00:00,1,2.50297,0.00064,1.0
2021-12-04 05:00:00,1,2.50078,0.00057,1.0
2021-12-04 06:00:00,1,2.49371,0.00064,1.0
2021-12-04 07:00:00,1,2.49098,0.00055,1.0
2021-12-04 08:00:00,1,2.49543,0.00052,1.0
2021-12-04 09:00:00,1,2.49551,0.00067,1.0
2021-12-04 10:00:00,1,2.49671,0.00054,1.0
2021-12-04 11:00:00,1,2.50603,0.00053,1.0
2021-12-04 12:00:00,1,2.51817,0.00067,1.0
2021-12-04 13:00:00,1,2.52579,0.00063,1.0
2021-12-04 14:00:00,1,2.52353,0.00054,1.0
2021-12-04 15:00:00,1,2.52738,0.00058,1.0
2021-12-04 16:00:00,1,2.5269800000000004,0.00052,1.0
2021-12-04 17:00:00,1,2.52639,0.00054,1.0
2021-12-04 18:00:00,1,2.51846,0.00059,1.0
2021-12-04 19:00:00,1,2.53863,0.00063,1.0
2021-12-04 20:00:00,1,2.53322,0.0006,1.0
2021-12-04 21:00:00,1,2.5310700000000006,0.00072,1.0
2021-12-04 22:00:00,1,2.52464,0.00065,1.0
2021-12-04 23:00:00,1,2.51758,0.00064,1.0
